ST_CASE,VEH_NO,PER_NO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10074,1,1,0,0,0,0,0,0,0,0,0,0
10074,2,1,0,0,0,0,0,0,0,0,0,0
10075,1,1,23,23,23,23,23,23,23,23,23,23
10075,2,1,0,0,6,0,0,0,0,0,0,0
10076,1,1,0,0,0,0,0,0,0,0,0,0
10076,2,1,8,0,0,0,0,0,0,0,0,0
10077,1,1,0,17,0,18,19,9,0,0,0,0
10078,1,1,10,10,10,10,10,10,10,10,10,10
10079,1,1,0,0,0,0,0,0,0,0,0,0
10080,1,1,0,0,0,0,0,0,0,0,0,0
10080,2,1,0,0,0,0,0,0,0,0,0,0
10081,1,1,12,12,12,12,12,12,12,12,12,12
10082,0,1,0,0,0,0,0,0,0,0,0,0
10082,1,1,0,0,0,0,0,0,0,0,0,0
10083,1,1,0,0,0,0,0,0,0,0,0,0
10083,2,1,0,0,0,0,0,0,0,0,0,10
10084,1,1,0,0,0,0,0,0,0,0,0,0
10084,2,1,0,0,0,0,0,0,0,0,0,0
10085,0,1,0,0,0,0,0,16,0,0,0,35
10085,2,1,21,0,0,0,0,0,0,0,0,0
10086,0,1,0,19,0,0,0,0,9,0,24,0
10086,1,1,8,11,9,4,12,14,0,0,24,9
10087,1,1,0,1,0,0,0,0,0,0,0,0
10088,0,1,10,10,10,10,10,10,10,10,10,10
10088,1,1,0,0,0,0,0,0,0,0,0,0
10089,1,1,0,0,0,0,0,0,0,0,0,0
10089,2,1,0,0,0,0,0,0,8,0,0,0
10090,1,1,16,16,16,16,16,16,16,16,16,16
10090,2,1,0,0,0,41,0,0,0,0,0,0
10091,1,1,0,0,0,0,0,0,0,0,0,0
10091,2,1,0,0,0,0,0,0,0,0,0,0
10092,1,1,0,14,24,0,0,0,4,0,13,18
10093,1,1,21,21,21,21,21,21,21,21,21,21
10094,1,1,0,0,0,0,0,0,0,0,0,0
10094,2,1,0,0,0,0,0,0,0,0,0,0
10094,3,1,18,0,0,20,0,0,0,0,0,13
10094,4,1,20,0,30,0,0,0,0,0,0,0
10095,1,1,0,0,0,0,0,0,0,0,0,0
10096,1,1,0,0,0,0,0,0,0,0,0,0
10096,2,1,0,0,0,0,0,0,0,0,0,0
10097,1,1,0,0,0,0,10,13,0,0,5,9
10097,2,1,15,0,23,0,37,0,0,27,0,29
10098,1,1,7,7,7,7,7,7,7,7,7,7
10098,2,1,0,0,0,0,0,0,0,8,0,0
10099,1,1,0,0,0,0,0,0,0,0,0,0
10099,2,1,0,0,0,0,0,0,0,0,0,0
10100,0,1,13,0,0,0,0,0,0,0,0,0
10100,1,1,0,21,0,0,0,0,17,0,0,0
10100,2,1,0,0,0,0,0,0,0,0,0,0
10100,3,1,0,0,0,0,0,0,0,0,0,0
10101,1,1,0,0,0,0,0,0,0,0,0,0
10102,1,1,0,0,0,0,0,0,0,0,0,0
10102,2,1,0,0,0,0,0,0,0,0,0,11
10103,1,1,0,0,0,0,16,0,0,0,0,13
10104,1,1,0,19,0,0,18,0,0,0,4,0
10105,1,1,0,0,0,0,0,0,0,0,0,0
10106,1,1,0,0,0,0,0,0,0,0,0,0
10106,2,1,0,0,0,0,0,0,0,0,0,0
10107,0,1,0,0,0,0,0,0,0,22,0,0
10107,1,1,0,13,0,0,0,0,0,18,0,15
10108,1,1,0,8,4,31,0,15,15,23,22,7
10108,2,1,0,0,0,0,0,0,0,0,0,0
10109,0,1,20,20,20,20,20,20,20,20,20,20
10109,1,1,0,0,0,7,0,0,0,0,22,0
10110,1,1,0,0,0,0,0,0,0,0,0,0
10111,1,1,0,0,0,0,0,0,0,0,0,0
10111,2,1,0,0,0,0,0,0,0,0,0,0
10112,1,1,15,24,26,32,13,18,17,29,15,11
10113,1,1,5,5,5,5,5,5,5,5,5,5
10114,1,1,0,0,0,0,0,0,0,0,0,0
10115,1,1,0,0,0,0,0,0,0,0,0,0
10116,1,1,28,0,0,18,0,0,0,0,0,0
10117,0,1,0,0,0,0,0,0,0,19,0,0
10117,1,1,0,0,0,0,0,0,0,0,0,0
10118,1,1,0,0,0,0,27,0,0,0,0,0
10119,1,1,8,32,1,9,45,40,12,32,25,19
10120,1,1,0,0,0,0,0,0,0,0,0,0
10120,2,1,0,0,0,0,0,0,0,0,0,0
10121,1,1,0,0,0,0,0,0,0,0,0,0
10122,1,1,19,19,19,19,19,19,19,19,19,19
10122,2,1,0,0,0,0,0,0,0,0,0,0
10123,0,1,0,0,0,0,0,0,0,0,0,0
10123,1,1,0,0,0,0,17,0,23,0,0,10
10124,1,1,0,0,0,0,0,0,0,0,0,0
10124,2,1,0,0,0,0,0,0,0,0,0,0
10125,1,1,0,0,0,0,0,0,0,0,0,0
10125,2,1,5,5,5,5,5,5,5,5,5,5
