STATE,STATENAME,ST_CASE,VEH_NO,TRAILER_NO,VEHICLEDESCRIPTOR,VINDECODEDON,VINDECODEERROR,VEHICLETYPEID,VEHICLETYPE,MANUFACTURERFULLNAMEID,MANUFACTURERFULLNAME,MAKEID,MAKE,MODELID,MODEL,MODELYEAR,SERIES,TRIM,PLANTCOUNTRYID,PLANTCOUNTRY,PLANTSTATE,PLANTCITY,PLANTCOMPANYNAME,NONLANDUSEID,NONLANDUSE,NOTE,BODYCLASSID,BODYCLASS,GROSSVEHICLEWEIGHTRATINGFROMID,GROSSVEHICLEWEIGHTRATINGFROM,GROSSVEHICLEWEIGHTRATINGTOID,GROSSVEHICLEWEIGHTRATINGTO,TRAILERBODYTYPEID,TRAILERBODYTYPE,TRAILERTYPECONNECTIONID,TRAILERTYPECONNECTION,TRAILERLENGTHFT,OTHERTRAILERINFO,AXLESCOUNT,AXLECONFIGURATIONID,AXLECONFIGURATION
4,Arizona,40005,1,1,527SR532*FL******,2024-08-22 01:57:40,0,6,TRAILER,6703,CIMC REEFER TRAILER INC.,1561,"CIMC REEFER TRAILER,INC",4978,"CIMC REEFER TRAILER,INC.",2015,,,6,UNITED STATES (USA),CALIFORNIA,LOS ANGELES,"CIMC Reefer Trailer,Inc",,,,61,Trailer,,,,,59,Van/Covered Cargo/Enclosed,4,Straight Semi/Semi Trailer,53.000,Reefer Van Trailer,2,,
4,Arizona,40005,2,1,1JJV532D*LL******,2024-08-22 01:57:40,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,12319,WABASH VANS,10942,Dry Van Duraplate,2020,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
4,Arizona,40034,4,1,1JJV532D*KL******,2024-08-22 01:57:40,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,12319,WABASH VANS,10942,Dry Van Duraplate,2019,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
4,Arizona,40055,2,1,591SD221*KC******,2024-08-22 01:57:40,0,6,TRAILER,7719,"DRAGON ESP, LTD",1415,DRAGON ESP,4763,Dragon ESP,2019,,,6,UNITED STATES (USA),CALIFORNIA,LATHROP,,,,,61,Trailer,,,,,4,Dump Trailer/Dumping Trailer,4,Straight Semi/Semi Trailer,22.000,,1,,
4,Arizona,40073,2,1,1JJV532B*LL******,2024-08-22 01:57:40,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,12319,WABASH VANS,10945,Refrigerated Van,2020,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
4,Arizona,40081,2,1,5E0AA144*KG******,2024-08-22 01:57:40,0,6,TRAILER,20895,"COTTRELL, INC.",12482,COTTRELL,32567,"C-09, C-11, CS-10, CS-12M3, CX-09, CX-5LSCH, CX-AK7, CX-LSFA-TRI",2019,,,6,UNITED STATES (USA),GEORGIA,GAINESVILLE,,,,,61,Trailer,,,,,3,Car Hauler Trailer,5,Fifth Wheel,,Trailer Length (feet): 44-46,2,3,Tandem
4,Arizona,40104,1,1,4HXSU162*AC******,2024-08-22 01:57:40,0,6,TRAILER,6639,"CARSON TRAILER, INC.",6799,CARSON TRAILER,18243,Carson Trailer,2010,,,6,UNITED STATES (USA),CALIFORNIA,GARDENA,,,,,61,Trailer,,,,,16,Utility Trailer,,,16.000,,2,,
4,Arizona,40177,2,1,1KKVD572*6L******,2024-08-22 01:57:40,0,6,TRAILER,2340,KENTUCKY MANUFACTURING CO.,2048,KENTUCKY,30821,Drop Trailer,2006,,,6,UNITED STATES (USA),KENTUCKY,LOUISVILLE,Kentucky Manufacturing Co.,,,,61,Trailer,,,,,59,Van/Covered Cargo/Enclosed,,,57.000,Van Trailer,2,,
4,Arizona,40223,1,1,5DN11534*LB******,2024-08-22 01:57:40,0,6,TRAILER,8543,WESTERN TRAILER COMPANY,3808,WESTERN TRAILER COMPANY,8295,Western Trailer Company,2020,,,6,UNITED STATES (USA),IDAHO,BOISE,Western Trailer Company,,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,4,Straight Semi/Semi Trailer,53.000,"Flatbed (Classic, Elite, Hopper, Flat)",4,,
4,Arizona,40254,1,1,1JJV532D*HL******,2024-08-22 01:57:40,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,12319,WABASH VANS,10942,Dry Van Duraplate,2017,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
4,Arizona,40254,3,1,1UYVS253*M3******,2024-08-22 01:57:40,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2021,,,6,UNITED STATES (USA),ARKANSAS,PARAGOULD,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
4,Arizona,40260,1,1,1UYFS253*J5******,2024-08-22 01:57:40,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2018,,,6,UNITED STATES (USA),ALABAMA,ENTERPRISE,,,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
4,Arizona,40267,2,1,1UYVS253*N2******,2024-08-22 01:57:40,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2022,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
4,Arizona,40287,2,1,1W91V452*3M077***,2024-08-22 01:57:40,0,6,TRAILER,1379,WILKENS MANUFACTURING,4447,WILKENS MANUFACTURING,9273,Wilkens Manufacturing,2003,,,6,UNITED STATES (USA),MINNESOTA,MORRIS,Wilkens Manufacturing,,,,61,Trailer,,,,,,,,,45.000,Full Trailer,2,,
4,Arizona,40298,1,1,1JJV532D*KL******,2024-08-22 01:57:40,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,12319,WABASH VANS,10942,Dry Van Duraplate,2019,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
4,Arizona,40310,1,1,1JJV532D*CL******,2024-08-22 01:57:40,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,12319,WABASH VANS,10942,Dry Van Duraplate,2012,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
4,Arizona,40322,1,1,5WWBD142*N6******,2024-08-22 01:57:40,0,6,TRAILER,7833,DELCO TRAILERS,758,DELCO TRAILERS,3926,Delco Trailers,2022,,,6,UNITED STATES (USA),TEXAS,SUMNER,,,,,61,Trailer,,,,,4,Dump Trailer/Dumping Trailer,14,Bumper Pull,14.000,,2,,
4,Arizona,40323,2,1,1JJV532D*FL******,2024-08-22 01:57:40,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,12319,WABASH VANS,10942,Dry Van Duraplate,2015,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
4,Arizona,40343,1,1,5C2BB40B*DM******,2024-08-22 01:57:40,0,6,TRAILER,15683,"CLEMENT INDUSTRIES, INC.",5405,CLEMENT INDUSTRIES,13961,Clement,2013,,,6,UNITED STATES (USA),LOUISIANA,MINDEN,"Clement Industries, Inc",,,,61,Trailer,,,,,4,Dump Trailer/Dumping Trailer,4,Straight Semi/Semi Trailer,40.000,Frameless Semi End Dump,2,3,Tandem
4,Arizona,40343,2,1,5C2BB40B*BM******,2024-08-22 01:57:40,0,6,TRAILER,15683,"CLEMENT INDUSTRIES, INC.",5405,CLEMENT INDUSTRIES,13961,Clement,2011,,,6,UNITED STATES (USA),LOUISIANA,MINDEN,"Clement Industries, Inc",,,,61,Trailer,,,,,4,Dump Trailer/Dumping Trailer,4,Straight Semi/Semi Trailer,40.000,Frameless Semi End Dump,2,3,Tandem
4,Arizona,40354,1,1,1BN2B191*VP******,2024-08-22 01:57:40,0,6,TRAILER,4571,"BEALL MANUFACTURING, INC.",4862,BEALL TRAILERS,11201,Beall Trailers,1997,,,6,UNITED STATES (USA),OREGON,PORTLAND,,,,,61,Trailer,,,,,103,Bulk,4,Straight Semi/Semi Trailer,19.000,,1,,
4,Arizona,40354,1,2,10BDA410*HP******,2024-08-22 01:57:40,0,6,TRAILER,5083,BRENNER TANK LLC,6976,BRENNER/BEALL/LAFAYETTE,21579,DRY BULK,2017,,,6,UNITED STATES (USA),OREGON,PORTLAND,,,,,61,Trailer,,,,,,,,,,Type of Material: Aluminum,1,,
4,Arizona,40357,2,1,1TTF532A*L3******,2024-08-22 01:57:40,0,6,TRAILER,8231,TRANSCRAFT CORPORATION,12051,BENSON/WABASH,27664,Aluminium Flatbed,2020,,,6,UNITED STATES (USA),KENTUCKY,CADIZ,,,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,6,Kingpin,53.000,,2,,
4,Arizona,40363,3,1,1UYVS253*9U******,2024-08-22 01:57:40,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2009,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
4,Arizona,40378,1,1,5WSABB23*KN******,2024-08-22 01:57:40,0,6,TRAILER,10142,WALKER STAINLESS EQUIPMENT CO,6978,WALKER,32634,NON-DOT/TC Spec,2019,3A/Foodgrade/Water/Fertilizer/Septic/Dry Bulk/Etc.,,6,UNITED STATES (USA),WISCONSIN,NEW LISBON,,,,,61,Trailer,,,,,15,Tank Trailer,4,Straight Semi/Semi Trailer,,Length of Trailer: 40-49 feet,2,,
4,Arizona,40380,2,1,1UYVS253*6U******,2024-08-22 01:57:40,1,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2006,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
4,Arizona,40394,1,1,1UYVS253*P2******,2024-08-22 01:57:40,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2023,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
4,Arizona,40418,2,1,1TTF482C*F3******,2024-08-22 01:57:40,0,6,TRAILER,8231,TRANSCRAFT CORPORATION,12050,TRANSCRAFT/WABASH,27663,Combo Steel/Alum Flatbed,2015,,,6,UNITED STATES (USA),KENTUCKY,CADIZ,,,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,6,Kingpin,48.000,,2,,
4,Arizona,40444,3,1,5MC12531*E5******,2024-08-22 01:57:40,0,6,TRAILER,5772,"MANAC TRAILERS USA, INC.",3896,MANAC TRAILERS USA,8528,Manac,2014,,,6,UNITED STATES (USA),MISSOURI,KENNETT,"Manac Trailers USA, Inc.",,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,4,Straight Semi/Semi Trailer,53.000,Platform,2,,
4,Arizona,40494,2,1,1UYVS253*EU******,2024-08-22 01:57:40,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2014,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
4,Arizona,40503,2,1,3H3V532C*MR******,2024-08-22 01:57:40,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,2021,,,12,MEXICO,BAJA CALIFORNIA,ROSARITO,,,,Trailer Type: SEMITRAILER,61,Trailer,,,,,36,Van Trailer,6,Kingpin,53.000,Material: ALUMINUM/STEEL,2,,
4,Arizona,40504,1,1,1JJV532B*DL******,2024-08-22 01:57:40,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,12319,WABASH VANS,10945,Refrigerated Van,2013,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
4,Arizona,40521,1,1,5JLSP432*45******,2024-08-22 01:57:40,0,6,TRAILER,5564,"HEIL TRAILER INTERNATIONAL, CO",2365,"HEIL TRAILER INTERNATIONAL, CO.",6142,"Heil Trailer International, Co.",2004,,,6,UNITED STATES (USA),TEXAS,RHOME,,,,Body Shape: Flo,61,Trailer,,,,,103,Bulk,,,43.000,Al Pneumatic,2,,
4,Arizona,40525,2,1,1UYVS253*N2******,2024-08-22 01:57:40,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2022,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
4,Arizona,40544,2,1,3H3V532C*KT******,2024-08-22 01:57:40,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,2019,,,12,MEXICO,BAJA CALIFORNIA,TIJUANA,,,,,61,Trailer,,,,,36,Van Trailer,,,53.000,Material: Aluminum/Steel,2,,
4,Arizona,40561,2,1,3H3V532C*MT******,2024-08-22 01:57:40,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,2021,,,12,MEXICO,BAJA CALIFORNIA,TIJUANA,,,,Trailer Type: SEMITRAILER,61,Trailer,,,,,36,Van Trailer,6,Kingpin,53.000,Material: ALUMINUM/STEEL,2,,
4,Arizona,40562,2,1,5HTSA442*P7******,2024-08-22 01:57:40,0,6,TRAILER,5564,"HEIL TRAILER INTERNATIONAL, CO",2365,"HEIL TRAILER INTERNATIONAL, CO.",6142,"Heil Trailer International, Co.",2023,,,6,UNITED STATES (USA),TENNESSEE,ATHENS,,,,,61,Trailer,,,,,15,Tank Trailer,4,Straight Semi/Semi Trailer,44.000,AL 306/406,2,,
4,Arizona,40585,2,1,1JJV532D*KL******,2024-08-22 01:57:40,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,12319,WABASH VANS,10942,Dry Van Duraplate,2019,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
4,Arizona,40590,1,1,1GRAA062*CB******,2024-08-22 01:57:40,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2012,,,6,UNITED STATES (USA),INDIANA,BRAZIL,,,,,61,Trailer,,,,,,,4,Straight Semi/Semi Trailer,53.000,Dry Freight Van / Reefer Van / Insulated Van,2,,
4,Arizona,40591,2,1,1UYVS253*M6******,2024-08-22 01:57:40,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2021,,,6,UNITED STATES (USA),VIRGINIA,MARION,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
4,Arizona,40597,2,1,1JJV532B*HL******,2024-08-22 01:57:40,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,12319,WABASH VANS,10945,Refrigerated Van,2017,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
4,Arizona,40606,2,1,1JJV532W*7L******,2024-08-22 01:57:40,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,4847,WABASH,13327,Wabash National Corporation,2007,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
4,Arizona,40612,1,1,1JJV532B*JL******,2024-08-22 01:57:40,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,12319,WABASH VANS,10945,Refrigerated Van,2018,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
4,Arizona,40619,2,1,1JJV532W*8L******,2024-08-22 01:57:40,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,4847,WABASH,13327,Wabash National Corporation,2008,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
4,Arizona,40624,2,1,1UYVS253*AU******,2024-08-22 01:57:40,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2010,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
4,Arizona,40699,2,1,1UYVS253*6U******,2024-08-22 01:57:40,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2006,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
4,Arizona,40703,2,1,3A9P4422*FG019***,2024-08-22 01:57:40,1,6,TRAILER,14103,"INDUSTRIAS PROACERO MONTERREY, S.A. DE C.V.",1699,"INDUSTRIAS PROACERO MONTERRERY, S.A. DE C.V.",5711,"Industrias Proacero Monterrery, S.A. de C.V.",2015,,,12,MEXICO,NUEVO LEON,GUADALUPE,,,,,61,Trailer,,,,,,,4,Straight Semi/Semi Trailer,42.000,Body Type: Pneumatic Tank,2,,
4,Arizona,40704,1,1,1JJV532W*6L******,2024-08-22 01:57:40,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,4847,WABASH,13327,Wabash National Corporation,2006,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
4,Arizona,40739,1,1,1JJV532D*FL******,2024-08-22 01:57:40,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,12319,WABASH VANS,10942,Dry Van Duraplate,2015,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
4,Arizona,40748,1,1,1UYVS253*P3******,2024-08-22 01:57:40,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2023,,,6,UNITED STATES (USA),ARKANSAS,PARAGOULD,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
4,Arizona,40762,2,1,4XTFN332*5C******,2024-08-22 01:57:40,0,6,TRAILER,1106,"MVP RV INC. (THOR CALIFORNIA, INC.)",2373,MVP RV INC. (THOR CALIFORNIA),2838,Tahoe/Fury,2005,,,6,UNITED STATES (USA),CALIFORNIA,MORENO VALLEY,Thor California,,,No Slide Out,,,,,,,,,5,Fifth Wheel,33.000,,2,,
4,Arizona,40801,1,1,1UYVS253*9M******,2024-08-22 01:57:40,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2009,,,6,UNITED STATES (USA),VIRGINIA,MARION,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
4,Arizona,40928,2,1,1DW1A281*8S******,2024-08-22 01:57:40,0,6,TRAILER,13506,"STOUGHTON TRAILERS, INC.",3414,STOUGHTON TRAILERS,7701,Stoughton trailers,2008,,,6,UNITED STATES (USA),WISCONSIN,STOUGHTON,"Stoughton Trailers, INC",,,,61,Trailer,,,,,59,Van/Covered Cargo/Enclosed,4,Straight Semi/Semi Trailer,28.000,Van Trailer,1,,
4,Arizona,40935,2,1,1GRAA062*8D******,2024-08-22 01:57:40,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2008,,,6,UNITED STATES (USA),PENNSYLVANIA,DANVILLE,,,,Effective 12/01/01,61,Trailer,,,,,59,Van/Covered Cargo/Enclosed,4,Straight Semi/Semi Trailer,53.000,Dry Freight/ Reefer/ Insulated Van,2,,
4,Arizona,40953,1,1,1KKVA532*ML******,2024-08-22 01:57:40,0,6,TRAILER,2340,KENTUCKY MANUFACTURING CO.,2048,KENTUCKY,5803,Dry Freight Trailer,2021,,,6,UNITED STATES (USA),KENTUCKY,LOUISVILLE,Kentucky Manufacturing Co.,,,,61,Trailer,,,,,59,Van/Covered Cargo/Enclosed,,,53.000,Van Trailer,2,,
4,Arizona,40999,1,1,3H3V532K*NS******,2024-08-22 01:57:40,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,2022,,,12,MEXICO,BAJA CALIFORNIA,ROSARITO,,,,Body Type: SEMITRAILER,61,Trailer,,,,,36,Van Trailer,6,Kingpin,53.000,,2,,
4,Arizona,41043,2,1,1JJV532B*HL******,2024-08-22 01:57:40,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,12319,WABASH VANS,10945,Refrigerated Van,2017,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
4,Arizona,41058,2,1,1JJV532D*KL******,2024-08-22 01:57:40,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,12319,WABASH VANS,10942,Dry Van Duraplate,2019,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
5,Arkansas,50031,1,1,1PMS1422*H1******,2024-08-22 01:57:40,0,6,TRAILER,6179,"POLAR TANK TRAILER, LLC",2921,POLAR TANK TRAILER,6874,Polar Tank Trailer,2017,,,6,UNITED STATES (USA),MINNESOTA,OPOLE,,,,,61,Trailer,,,,,,,4,Straight Semi/Semi Trailer,42.000,Tank Vessel Code: Non-code,2,,
5,Arkansas,50096,2,1,48X1H392*A1******,2024-08-22 01:57:40,1,6,TRAILER,10839,"TRAVIS BODY & TRAILER, INC.",3520,"TRAVIS BODY & TRAILER, INC.",7868,"TRAVIS BODY & TRAILER, INC.",2010,,,6,UNITED STATES (USA),TEXAS,HOUSTON,,,,,61,Trailer,,,,,4,Dump Trailer/Dumping Trailer,30,Other,39.000,Watson ARx43,2,,
5,Arkansas,50155,3,1,1MDAPAV2*PA******,2024-08-22 01:57:40,0,6,TRAILER,3805,MIDWEST INDUSTRIES INC,6317,SHORELAND'R,24784,ShoreLand'r,2023,CRV40TBXLW,,6,UNITED STATES (USA),IOWA,IDA GROVE,,,,,61,Trailer,,,,,2,Boat Trailer,,,24.000,,2,,
5,Arkansas,50182,1,1,1UYVS253*P2******,2024-08-22 01:57:40,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2023,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
5,Arkansas,50212,2,1,4Z1GF302*LS******,2024-08-22 01:57:40,0,6,TRAILER,9165,GATOR MADE INC.,4039,GATOR MADE,8711,Gator Made Inc.,2020,,,6,UNITED STATES (USA),,SOMERSET,Gator Made Inc.,,,,61,Trailer,,,,,101,Other,3,Gooseneck,30.000,Gooseneck,2,,
5,Arkansas,50275,2,1,5JYLT402*EP******,2024-08-22 01:57:40,0,6,TRAILER,2290,PITTS ENTERPRISES INC,2831,PITTS TRAILERS,6775,Pitts Trailers,2014,,,6,UNITED STATES (USA),ALABAMA,PITTSVIEW,,,,,61,Trailer,,,,,,,4,Straight Semi/Semi Trailer,40.000,,2,,
5,Arkansas,50309,2,1,1NNVA482*GM******,2024-08-22 01:57:40,0,6,TRAILER,15472,EVANS PRODUCTS COMPANY,6021,MONON,29523,Monon,2016,,,6,UNITED STATES (USA),INDIANA,MONON,,,,,61,Trailer,,,,,59,Van/Covered Cargo/Enclosed,,,48.000,Smooth Side Aluminum,2,3,Tandem
5,Arkansas,50357,1,1,1W9FL482*HE285***,2024-08-22 01:57:40,0,6,TRAILER,10133,"WADE SERVICES, INC.",6961,"WADE SERVICES, INC.",18531,"WADE SERVICES, INC.",2017,,,6,UNITED STATES (USA),MISSISSIPPI,ELLISVILLE,,,,,61,Trailer,,,,,,,,,48.000,Trailer Type: LIVEHAUL,2,,
5,Arkansas,50389,1,1,56EA51H2*KA******,2024-08-22 01:57:40,0,6,TRAILER,12109,"ARMOR LITE TRAILER MFG, LLC",1161,ARMOR LITE TRAILER,4470,Armor Lite Trailer,2019,,,6,UNITED STATES (USA),MISSOURI,SIKESTON,,,,,61,Trailer,,,,,33,Grain Trailer,6,Kingpin,38.000,Steel Rectangle Tube Frame,2,,
5,Arkansas,50430,1,1,5MC22401*N3******,2024-08-22 01:57:40,0,6,TRAILER,5772,"MANAC TRAILERS USA, INC.",3896,MANAC TRAILERS USA,8528,Manac,2022,,,6,UNITED STATES (USA),MISSOURI,ORAN,"Manac Trailers USA, Inc.",,,,61,Trailer,,,,,19,Logging Trailer,4,Straight Semi/Semi Trailer,40.000,Kingpin,2,,
5,Arkansas,50461,1,1,1TDH4222*5B******,2024-08-22 01:57:40,0,6,TRAILER,8330,TIMPTE INC.,5331,"TIMPTE, INC",13636,Timpte,2005,,,6,UNITED STATES (USA),NEBRASKA,DAVID CITY,,,,"Seventh VIN position indicates the additional length of the trailer to the nearest inch up to 9 inches. If the additional length is 10 inches or more the seventh character is zero (0) and the sixth character will be increased to the next foot. For example : a 42ft 9in trailer will be represent in VIN position 5, 6 & 7 as ""429"" and a 42ft 10in. trailer will be represented in VIN position 5 , 6 & 7 as ""430"" respectively.",61,Trailer,,,,,174,Dry Bulk Trailer,,,42.000,Dry Bulk-Bottom Hopper,2,,
5,Arkansas,50469,14,1,1A922EG2*K1005***,2024-08-22 01:57:40,0,6,TRAILER,5054,CLEAN HARBORS ENVIRONMENTAL SERVICES INC,6181,ACRO TRAILER COMPANY,16451,Acro Trailer Company,2019,,,6,UNITED STATES (USA),MONTANA,SPRINGFIELD,,,,,61,Trailer,,,,,15,Tank Trailer,,,42.000,Type of Trailer: DOT 407,2,,
6,California,60037,2,1,48X1F392*Y1******,2024-08-20 00:39:10,0,6,TRAILER,10839,"TRAVIS BODY & TRAILER, INC.",3520,"TRAVIS BODY & TRAILER, INC.",7868,"TRAVIS BODY & TRAILER, INC.",2000,,,6,UNITED STATES (USA),TEXAS,HOUSTON,,,,,61,Trailer,,,,,4,Dump Trailer/Dumping Trailer,30,Other,39.000,Tumer ARx43,2,,
